Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G,All Stars
1,Utah Jazz*,28.5,48,18,51,15,9.44,-0.13,9.31,117.6,108,9.6,98.6,0.243,0.49,0.597,0.564,12.7,24.2,0.193,0.505,10.3,79.2,0.159,Vivint Smart Home Arena,131782,3993,3
2,Milwaukee Bucks,28.1,42,24,45,21,6.18,-0.03,6.15,116.9,110.8,6.1,102,0.228,0.404,0.593,0.566,12.2,23.3,0.173,0.532,11.6,79.6,0.16,Fiserv Forum,54940,1665,1
3,Los Angeles Clippers*,28.9,44,22,45,21,6.02,0,6.01,117.8,111.6,6.2,96.9,0.222,0.398,0.599,0.565,12.1,22.7,0.186,0.532,11.9,79.2,0.189,STAPLES Center,8048,237,2
4,Philadelphia 76ers*,27.1,45,21,44,22,5.62,0.01,5.63,113.1,107.5,5.6,99.7,0.298,0.345,0.579,0.542,13,23.6,0.227,0.522,13.8,78.6,0.199,Wells Fargo Center,48107,1503,2
5,Phoenix Suns*,26.6,47,19,44,22,5.68,-0.23,5.46,116.6,110.9,5.7,97,0.21,0.392,0.594,0.562,11.7,21,0.174,0.532,12.5,78.4,0.192,Phoenix Suns Arena,87605,2577,2
6,Denver Nuggets*,26,44,22,44,22,5.38,-0.21,5.17,117,111.6,5.4,97.1,0.22,0.381,0.588,0.557,12.2,24.8,0.176,0.542,12.9,79.1,0.196,Ball Arena,50519,1443,1
7,Brooklyn Nets*,28.2,43,23,41,25,4.15,-0.16,3.99,118.1,114,4.1,99.7,0.258,0.416,0.608,0.572,12.3,21.8,0.208,0.535,11.2,77.5,0.187,Barclays Center,25172,763,3
8,Los Angeles Lakers,28.3,37,28,39,26,2.98,-0.16,2.83,109.7,106.8,2.9,98.7,0.268,0.366,0.57,0.538,13.8,22.4,0.199,0.523,13.7,79.4,0.179,STAPLES Center,12532,380,2
9,Dallas Mavericks,26.3,37,28,37,28,2.06,0.22,2.28,115.1,113,2.1,97.2,0.245,0.438,0.581,0.549,11.2,20.8,0.189,0.534,11.5,77.8,0.196,American Airlines Center,77161,2411,1
10,New York Knicks,25.5,37,29,38,28,2.55,-0.37,2.17,110.9,108.3,2.6,96.1,0.245,0.345,0.56,0.525,12.1,22.5,0.191,0.511,11.8,78.6,0.197,Madison Square Garden (IV),36188,1097,1
11,Boston Celtics,25.2,35,31,37,29,2.08,0.06,2.14,114.3,112.2,2.1,98.2,0.236,0.406,0.576,0.544,12.7,24.8,0.184,0.538,12.9,78.1,0.214,TD Garden,22980,676,2
12,Atlanta Hawks,25.4,37,30,37,30,1.75,0.16,1.91,115.4,113.6,1.8,97.2,0.279,0.386,0.58,0.537,12,24.4,0.226,0.53,11.1,77.7,0.194,State Farm Arena,47159,1474,
13,Memphis Grizzlies,24.3,33,32,34,31,0.75,0.16,0.92,111.9,111.2,0.7,100.6,0.23,0.338,0.559,0.527,11.5,24,0.179,0.538,13.3,78.7,0.199,FedEx Forum,49880,1559,
14,Portland Trail Blazers,27.4,37,29,35,31,1.05,-0.18,0.87,117.3,116.3,1,98.5,0.234,0.452,0.575,0.537,10,23.2,0.193,0.55,11.3,77.3,0.202,Moda Center,0,0,1
15,Toronto Raptors,26.8,27,39,34,32,0.38,-0.15,0.23,112.4,112.1,0.3,99.2,0.241,0.448,0.571,0.533,12,20.7,0.198,0.541,14.5,76.4,0.234,Amalie Arena,23530,735,
16,New Orleans Pelicans,24.8,30,36,34,32,0.26,-0.1,0.16,114.2,113.9,0.3,99.8,0.295,0.344,0.574,0.54,12.8,26.4,0.216,0.551,12,80,0.187,Smoothie King Center,89420,2555,1
17,Golden State Warriors,26.7,33,33,33,33,-0.12,0.12,-0.01,110.1,110.2,-0.1,102.4,0.239,0.434,0.579,0.547,13.4,17.7,0.186,0.523,13.3,76.5,0.226,Chase Center,8800,293,1
18,Indiana Pacers,26.6,30,35,32,33,-0.35,-0.15,-0.5,111.9,112.2,-0.3,101.4,0.23,0.375,0.572,0.539,12,20.3,0.182,0.532,12.9,74.9,0.199,Bankers Life Fieldhouse,0,0,1
19,Miami Heat,27.3,35,31,32,34,-0.48,-0.13,-0.61,110.3,110.8,-0.5,96.5,0.256,0.433,0.576,0.539,13.2,19.3,0.202,0.54,13.9,77.4,0.182,AmericanAirlines Arena,0,0,
20,Charlotte Hornets,24.7,32,33,30,35,-1.29,-0.02,-1.32,111.3,112.6,-1.3,98.3,0.238,0.422,0.568,0.537,13.4,23.4,0.181,0.549,13.3,75.8,0.162,Spectrum Center,48100,1552,
21,San Antonio Spurs,26.2,31,34,30,35,-1.2,-0.18,-1.38,110.8,112,-1.2,98.7,0.244,0.318,0.554,0.518,10.3,19.9,0.192,0.537,12,77,0.174,AT&T Center,47475,1439,
22,Chicago Bulls,25.5,26,39,29,36,-1.77,-0.15,-1.92,110.8,112.5,-1.7,99.2,0.2,0.38,0.575,0.546,13.8,22,0.159,0.541,11.6,80.4,0.2,United Center,0,0,2
23,Washington Wizards,26.5,30,36,29,37,-2.27,0.12,-2.16,110.9,113.1,-2.2,104.1,0.289,0.321,0.57,0.532,12.5,21.2,0.22,0.54,12.6,77.5,0.215,Capital One Arena,8532,251,1
24,Sacramento Kings,25.6,29,37,25,41,-4.11,0.38,-3.73,113.9,118,-4.1,99.9,0.253,0.373,0.579,0.549,12,21.5,0.188,0.56,12,74.7,0.198,Golden 1 Center,0,0,
25,Detroit Pistons,24.7,19,47,25,41,-4.02,0.07,-3.95,108.4,112.5,-4.1,97.8,0.275,0.385,0.556,0.518,13.3,22.3,0.21,0.54,12.7,76.7,0.198,Little Caesars Arena,10500,339,
26,Minnesota Timberwolves,23.2,20,46,21,45,-6.52,0.4,-6.12,109,115.4,-6.4,101.6,0.249,0.41,0.553,0.518,12.5,22.3,0.191,0.557,13.2,76.7,0.21,Target Center,10860,329,
27,Houston Rockets,26.7,16,50,18,48,-7.85,0.02,-7.83,106.4,114.1,-7.7,101.2,0.253,0.453,0.549,0.517,13.1,20,0.187,0.551,13,77.1,0.2,Toyota Center,113206,3234,
28,Cleveland Cavaliers,24.1,21,45,17,49,-8.05,0.17,-7.88,106.1,114.3,-8.2,97.2,0.256,0.343,0.545,0.511,14,23.6,0.19,0.556,13.3,76.3,0.184,Quicken Loans Arena,79032,2395,
29,Orlando Magic,25.8,21,45,17,49,-8.44,0.13,-8.31,105.4,113.9,-8.5,98.5,0.236,0.356,0.529,0.492,11.5,21.5,0.183,0.548,11.8,78.5,0.166,Amway Center,122377,3496,
30,Oklahoma City Thunder,23,21,45,15,51,-9.86,0.38,-9.48,103.7,113.4,-9.7,101.1,0.242,0.404,0.541,0.511,14.3,21.2,0.176,0.544,11.5,77.9,0.166,Chesapeake Energy Arena,0,0,
,League Average,26.3,,,33,33,0,0,0,112.2,112.2,,99.2,0.247,0.392,0.572,0.538,12.5,22.2,0.192,0.538,12.5,77.8,0.192,,40464,1230,
